,sentence,score,label
0,"The Project Gutenberg EBook of The jungle book, by Rudyard Kipling This eBook is for the use of anyone anywhere at no cost and with almost no restrictions whatsoever.",0.6000000238418579,2
1,"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org Title: The jungle book Author: Rudyard Kipling Release Date: April 30, 2011 [EBook #35997] Language: English *** START OF THIS PROJECT GUTENBERG EBOOK THE JUNGLE BOOK *** Produced by Suzanne Shell, Ernest Schaal, and the Online Distributed Proofreading Team at http://www.pgdp.net (This file was produced from images generously made available by The Internet Archive/American Libraries.)",0.0,1
2,THERE IS ANOTHER EDITION OF THIS TITLE WITH ADDITIONAL ILLUSTRATIONS WHICH MAY VIEWED AT EBOOK [# 236 ]THE JUNGLE BOOK Rudyard Kipling LITTLE TOOMAI LAID HIMSELF DOWN CLOSE TO THE GREAT NECK LEST A SWINGING BOUGH SHOULD SWEEP HIM TO THE GROUND.,-0.20000000298023224,0
3,(SEE PAGE 246.),0.0,1
4,THE JUNGLE BOOK BY RUDYARD KIPLING NEW YORK THE CENTURY CO.,-0.10000000149011612,0
5,"1910 Copyright 1893, 1894, by RUDYARD KIPLING Copyright, 1894, by HARPER and BROTHERS Copyright 1893, 1894, by THE CENTURY CO.CONTENTS PAGE MOWGLI'S BROTHERS 1 HUNTING-SONG OF THE SEEONEE PACK 42 KAA'S HUNTING 47 ROAD-SONG OF THE BANDAR-LOG 89 TIGER.",0.0,1
6,TIGER.,0.20000000298023224,2
7,"93 MOWGLI'S SONG 131 THE WHITE SEAL 137 LUKANNON 170 RIKKI-TIKKI-TAVI 175 DARZEE'S CHAUNT 212 TOOMAI OF THE ELEPHANTS 217 SHIV AND THE GRASSHOPPER 261 HER MAJESTY'S SERVANTS 265 PARADE-SONG OF THE CAMP ANIMALS 300LIST OF ILLUSTRATIONS PAGE Little Toomai laid himself down close to the great Neck, lest a swinging Bough should sweep him to the Ground Frontispiece 'Good Luck go with you, O Chief of the Wolves' 5 The Tiger's Roar filled the Cave with Thunder 11 The Meeting at the Council Rock 17 Bagheera would lie out on a Branch and call, 'Come along, Little Brother' 23 'Wake, Little Brother; I bring News' 99 'Are all these Tales such Cobwebs and Moon-Talk?' said Mowgli 105 Buldeo lay as still, as still, expecting every Minute to see Mowgli turn into a Tiger, too 121 When the Moon rose over the Plain the Villagers saw Mowgli trotting across, with two Wolves at his Heels 126 They clambered up on the Council Rock together, and Mowgli spread the Skin out on the flat Stone 129 Ten Fathoms Deep 146They were all awake and staring in every Direction but the right one 154 He had found Sea Cow at last 162 Rikki-tikki looked down between the Boy's Collar and Neck 177 He put his Nose into",-0.4000000059604645,0
8,"the Ink 178 Rikki-tikki was awake on the Pillow 179 He came to Breakfast riding on Teddy's Shoulder 180 'We are very miserable,' said Darzee 181 'I am Nag,' said the Cobra: 'Look, and be afraid.'",-0.699999988079071,0
9,"But at the Bottom of his cold Heart HE was afraid 183 He jumped up in the Air, and just under him whizzed by the Head of Nagaina 187 In the Dark he ran up against Chuchundra, the Muskrat 192 Then Rikki-tikki was battered to and fro as a Rat is shaken by a Dog 197 Darzee's Wife pretends to have a broken Wing 201 Nagaina flew down the Path with Rikki-tikki behind her 207 It is all over 210 Kala Nag was the best-loved Elephant in the Service 219 'He is afraid of me,' said Little Toomai, andhe made Kala Nag lift up his Feet one after the other 223 He would get his Torch and wave it, and yell with the Best 229 'Not green Corn, Protector of the Poor,—Melons,' said Little Toomai 235 Little Toomai looked down upon Scores and Scores of broad Backs 251 'To Toomai of the Elephants.",-0.4000000059604645,0
