,sentence,score,label
0,"The Project Gutenberg EBook of The Adventures of Pinocchio, by C.",0.0,1
1,Collodi--Pseudonym of Carlo Lorenzini This eBook is for the use of anyone anywhere at no cost and with almost no restrictions whatsoever.,0.5,2
2,"You may copy it, give it away or re-use it under the terms of the Project Gutenberg License included with this eBook or online at www.gutenberg.org Title: The Adventures of Pinocchio Author: C.",-0.30000001192092896,0
3,"Collodi--Pseudonym of Carlo Lorenzini Release Date: January 12, 2006 [EBook #500] [Most recently updated: September 28, 2020] Language: English *** START OF THIS PROJECT GUTENBERG EBOOK THE ADVENTURES OF PINOCCHIO *** Produced by Charles Keller (for Tina); and David Widger THE ADVENTURES OF PINOCCHIO by C.",0.10000000149011612,1
4,"Collodi [Pseudonym of Carlo Lorenzini] Translated from the Italian by Carol Della Chiesa CONTENTS CHAPTER 1 CHAPTER 2 CHAPTER 3 CHAPTER 4 CHAPTER 5 CHAPTER 6 CHAPTER 7 CHAPTER 8 CHAPTER 9 CHAPTER 10 CHAPTER 11 CHAPTER 12 CHAPTER 13 CHAPTER 14 CHAPTER 15 CHAPTER 16 CHAPTER 17 CHAPTER 18 CHAPTER 19 CHAPTER 20 CHAPTER 21 CHAPTER 22 CHAPTER 23 CHAPTER 24 CHAPTER 25 CHAPTER 26 CHAPTER 27 CHAPTER 28 CHAPTER 29 CHAPTER 30 CHAPTER 31 CHAPTER 32 CHAPTER 33 CHAPTER 34 CHAPTER 35 CHAPTER 36  CHAPTER 1 How it happened that Mastro Cherry, carpenter, found a piece of wood that wept and laughed like a child.",0.0,1
5,Centuries ago there lived— A king.,0.0,1
6,my little readers will say immediately.,0.6000000238418579,2
7,"No, children, you are mistaken.",-0.8999999761581421,0
8,Once upon a time there was a piece of wood.,-0.30000001192092896,0
9,It was not an expensive piece of wood.,0.6000000238418579,2
10,Far from it.,-0.6000000238418579,0
11,"Just a common block of firewood, one of those thick, solid logs that are put on the fire in winter to make cold rooms cozy and warm.",0.699999988079071,2
12,"I do not know how this really happened, yet the fact remains that one fine day this piece of wood found itself in the shop of an old carpenter.",-0.20000000298023224,0
13,"His real name was Mastro Antonio, but everyone called him Mastro Cherry, for the tip of his nose was so round and red and shiny that it looked like a ripe cherry.",0.0,1
14,"As soon as he saw that piece of wood, Mastro Cherry was filled with joy.",0.8999999761581421,2
15,"Rubbing his hands together happily, he mumbled half to himself: This has come in the nick of time.",-0.30000001192092896,0
16,I shall use it to make the leg of a table.,0.0,1
17,He grasped the hatchet quickly to peel off the bark and shape the wood.,0.6000000238418579,2
18,"But as he was about to give it the first blow, he stood still with arm uplifted, for he had heard a wee, little voice say in a beseeching tone: Please be careful.",-0.6000000238418579,0
19,Do not hit me so hard.,-0.699999988079071,0
20,What a look of surprise shone on Mastro Cherry’s face.,0.10000000149011612,1
21,His funny face became still funnier.,0.8999999761581421,2
22,"He turned frightened eyes about the room to find out where that wee, little voice had come from and he saw no one.",-0.8000000119209291,0
23,He looked under the bench—no one.,-0.699999988079071,0
24,He peeped inside the closet—no one.,-0.6000000238418579,0
25,He searched among the shavings—no one.,-0.6000000238418579,0
26,He opened the door to look up and down the street—and still no one.,-0.699999988079071,0
27,"Oh, I see.",0.0,1
28,"he then said, laughing and scratching his Wig.",-0.4000000059604645,0
29,It can easily be seen that I only thought I heard the tiny voice say the words.,0.20000000298023224,2
30,"Well, well—to work once more.",0.20000000298023224,2
31,He struck a most solemn blow upon the piece of wood.,-0.20000000298023224,0
32,"Oh, oh.",0.4000000059604645,2
33,You hurt.,-0.8999999761581421,0
34,cried the same far-away little voice.,-0.6000000238418579,0
35,"Mastro Cherry grew dumb, his eyes popped out of his head, his mouth opened wide, and his tongue hung down on his chin.",-0.699999988079071,0
36,"As soon as he regained the use of his senses, he said, trembling and stuttering from fright: Where did that voice come from, when there is no one around.",0.0,1
37,Might it be that this piece of wood has learned to weep and cry like a child.,-0.6000000238418579,0
38,I can hardly believe it.,0.20000000298023224,2
39,"Here it is—a piece of common firewood, good only to burn in the stove, the same as any other.",-0.5,0
40,Yet—might someone be hidden in it.,-0.30000001192092896,0
41,"If so, the worse for him.",-0.8000000119209291,0
42,I’ll fix him.,-0.30000001192092896,0
43,"With these words, he grabbed the log with both hands and started to knock it about unmercifully.",-0.30000001192092896,0
44,"He threw it to the floor, against the walls of the room, and even up to the ceiling.",-0.6000000238418579,0
45,He listened for the tiny voice to moan and cry.,0.4000000059604645,2
46,He waited two minutes— nothing; five minutes—nothing; ten minutes—nothing.,-0.699999988079071,0
47,"Oh, I see, he said, trying bravely to laugh and ruffling up his wig with his hand.",0.0,1
48,It can easily be seen I only imagined I heard the tiny voice.,0.20000000298023224,2
49,"Well, well— to work once more.",0.20000000298023224,2
50,"The poor fellow was scared half to death, so he tried to sing a gay song in order to gain courage.",-0.699999988079071,0
51,"He set aside the hatchet and picked up the plane to make the wood smooth and even, but as he drew it to and fro, he heard the same tiny voice.",0.20000000298023224,2
52,This time it giggled as it spoke: Stop it.,-0.8000000119209291,0
53,"Oh, stop it.",-0.8999999761581421,0
54,"Ha, ha, ha.",0.0,1
55,You tickle my stomach.,-0.8000000119209291,0
56,This time poor Mastro Cherry fell as if shot.,-0.8000000119209291,0
57,"When he opened his eyes, he found himself sitting on the floor.",-0.8000000119209291,0
58,His face had changed; fright had turned even the tip of his nose from red to deepest purple.,-0.20000000298023224,0
59,"CHAPTER 2 Mastro Cherry gives the piece of wood to his friend Geppetto, who takes it to make himself a Marionette that will dance, fence, and turn somersaults.",0.20000000298023224,2
60,"In that very instant, a loud knock sounded on the door.",-0.4000000059604645,0
61,"Come in, said the carpenter, not having an atom of strength left with which to stand up.",-0.30000001192092896,0
62,"At the words, the door opened and a dapper little old man came in.",0.0,1
63,"His name was Geppetto, but to the boys of the neighborhood he was Polendina,* on account of the wig he always wore which was just the color of yellow corn.",0.10000000149011612,1
64,* Cornmeal mush Geppetto had a very bad temper.,-0.8000000119209291,0
65,Woe to the one who called him Polendina.,-0.10000000149011612,0
66,He became as wild as a beast and no one could soothe him.,-0.10000000149011612,0
67,"Good day, Mastro Antonio, said Geppetto.",0.699999988079071,2
68,What are you doing on the floor.,-0.10000000149011612,0
69,I am teaching the ants their A B C’s.,-0.30000001192092896,0
70,Good luck to you.,0.8999999761581421,2
71,"What brought you here, friend Geppetto.",0.0,1
72,My legs.,-0.10000000149011612,0
73,"And it may flatter you to know, Mastro Antonio, that I have come to you to beg for a favor.",-0.20000000298023224,0
74,"Here I am, at your service, answered the carpenter, raising himself on to his knees.",0.20000000298023224,2
75,This morning a fine idea came to me.,0.8000000119209291,2
76,Let’s hear it.,0.10000000149011612,1
77,I thought of making myself a beautiful wooden Marionette.,0.5,2
78,"It must be wonderful, one that will be able to dance, fence, and turn somersaults.",0.4000000059604645,2
79,"With it I intend to go around the world, to earn my crust of bread and cup of wine.",0.8000000119209291,2
80,What do you think of it.,-0.10000000149011612,0
81,"Bravo, Polendina.",0.10000000149011612,1
82,cried the same tiny voice which came from no one knew where.,-0.6000000238418579,0
83,"On hearing himself called Polendina, Mastro Geppetto turned the color of a red pepper and, facing the carpenter, said to him angrily: Why do you insult me.",-0.8000000119209291,0
84,Who is insulting you.,-0.8999999761581421,0
85,You called me Polendina.,-0.30000001192092896,0
86,I did not.,-0.5,0
87,I suppose you think I did.,0.0,1
88,Yet I KNOW it was you.,0.10000000149011612,1
89,No.,-0.6000000238418579,0
90,Yes.,0.4000000059604645,2
91,No.,-0.6000000238418579,0
92,Yes.,0.4000000059604645,2
93,"And growing angrier each moment, they went from words to blows, and finally began to scratch and bite and slap each other.",-0.5,0
94,"When the fight was over, Mastro Antonio had Geppetto’s yellow wig in his hands and Geppetto found the carpenter’s curly wig in his mouth.",0.20000000298023224,2
95,Give me back my wig.,-0.6000000238418579,0
