,sentence,score,magnitude
0,Little Red Riding Hood,0.30000001192092896,0.30000001192092896
1,"Once upon a time, there was a little girl.",-0.20000000298023224,0.20000000298023224
2,"On her birthday, her grandmother gave her a little red riding hood.",0.0,0.0
3,“Happy birthday!,0.8999999761581421,0.8999999761581421
4,It’s for you!”,0.6000000238418579,0.6000000238418579
5,“Thank you!,0.8999999761581421,0.8999999761581421
6,I like it very much!”,0.8999999761581421,0.8999999761581421
7,She really liked it and always wore it.,0.8999999761581421,0.8999999761581421
8,So everyone called her Little Red Riding Hood.,-0.20000000298023224,0.20000000298023224
9,"One morning, her mother told her to visit her sick grandmother.",-0.30000001192092896,0.30000001192092896
10,The little girl put on her little red riding hood as her mother prepared a special goody basket.,0.4000000059604645,0.4000000059604645
11,"“Remember this, go straight to Grandma’s.",-0.20000000298023224,0.20000000298023224
12,Don’t talk to strangers!”,-0.699999988079071,0.699999988079071
13,"“Don’t worry, mommy.”",0.10000000149011612,0.10000000149011612
14,"On her way, Little Red Riding Hood noticed some lovely flowers in the woods.",0.800000011920929,0.800000011920929
15,"But unfortunately, she didn’t notice a wolf.",-0.699999988079071,0.699999988079071
16,“Wow!,0.8999999761581421,0.8999999761581421
17,How lovely they are!,0.8999999761581421,0.8999999761581421
18,I like these fresh flower.,0.8999999761581421,0.8999999761581421
19,"Umm they smell good, too!”",0.8999999761581421,0.8999999761581421
20,"Suddenly, a big wolf appeared beside her.",-0.4000000059604645,0.4000000059604645
21,"“Good mornig, little girl!",0.8999999761581421,0.8999999761581421
22,Where are you going?”,0.0,0.0
23,“Good mornig.,0.800000011920929,0.800000011920929
24,I’m going to see my grandmother.,0.10000000149011612,0.10000000149011612
25,She is sick.”,-0.5,0.5
26,“Where does she live?”,-0.20000000298023224,0.20000000298023224
27,"“She lives in the forest, near the big apple tree.”",0.10000000149011612,0.10000000149011612
28,“take some fresh flowers to your grandmother.,0.0,0.0
29,She will be happy to get them.”,0.8999999761581421,0.8999999761581421
30,“Really?,-0.5,0.5
31,"Oh, thank you, Mr. Wolf.”",0.8999999761581421,0.8999999761581421
32,"The wolf, in the meantime, took a shortcut.",-0.20000000298023224,0.20000000298023224
33,He arrived at Grandma’s and knocked on the door.,-0.30000001192092896,0.30000001192092896
34,"“Knock, knock!”",0.0,0.0
35,“Who’s there?”,0.0,0.0
36,"“It’s me, Little Red Riding Hood!”",0.4000000059604645,0.4000000059604645
37,“The door is open.,0.0,0.0
38,"Come in, my dear!”",0.30000001192092896,0.30000001192092896
39,The wolf went into the room and swallowed poor grandmother.,-0.5,0.5
40,He changed into her clothes and laid himself down in bed.,-0.10000000149011612,0.10000000149011612
41,"A few minutes later, Little Red Riding Hood knocked on the door.",-0.4000000059604645,0.4000000059604645
42,"“Knock, knock!”",0.0,0.0
43,“Who is it?”,0.0,0.0
44,"“It’s me, Little Red Riding Hood!”",0.4000000059604645,0.4000000059604645
45,"“Come in, my dear.”",0.0,0.0
46,Little Red Riding Hood went into the room.,-0.10000000149011612,0.10000000149011612
47,"“Grandmother, your ears are very big!”",0.0,0.0
48,"“To hear your sweet voice, my dear.”",0.6000000238418579,0.6000000238418579
49,"“Grandmother, your eyes are very big!”",0.10000000149011612,0.10000000149011612
50,"“To see your sweet face, my dear.”",0.4000000059604645,0.4000000059604645
51,"“Grandmother, your hands are very big!”",0.30000001192092896,0.30000001192092896
52,"“To grab you firmly, my dear.”",0.20000000298023224,0.20000000298023224
53,"“Grandmother, your mouth is very big!”",0.30000001192092896,0.30000001192092896
54,“It is to gulp you down!”,-0.6000000238418579,0.6000000238418579
55,"And just like that, the wolf swallowed Little Red Riding Hood, too.",0.0,0.0
56,"Feeling very full, the wolf fell asleep in bed, snoring loudly.",-0.10000000149011612,0.10000000149011612
57,"Just then, a hunter was passing by and heard the snoring.",-0.30000001192092896,0.30000001192092896
58,“That sounds strange.,-0.4000000059604645,0.4000000059604645
59,It must be a wolf!”,-0.20000000298023224,0.20000000298023224
60,The hunter went into the house.,-0.20000000298023224,0.20000000298023224
61,He saw a wolf sleeping in grandmother’s bed.,-0.5,0.5
62,His huge stomach was moving.,-0.30000001192092896,0.30000001192092896
63,"“Oh, no!”",-0.5,0.5
64,He took a pair of scissors and cut open the wolf’s stomach.,0.0,0.0
65,There was Little Red Riding Hood and grandmother still alive.,0.10000000149011612,0.10000000149011612
66,“Oh Grandma!,0.4000000059604645,0.4000000059604645
67,I was so scared!,-0.800000011920929,0.800000011920929
68,I will never talk to strangers again.,-0.30000001192092896,0.30000001192092896
69,I will always listen to you and mother.”,0.8999999761581421,0.8999999761581421
70,"“There, there, my dear.",0.0,0.0
71,Just don’t forget!”,0.20000000298023224,0.20000000298023224
72,"From then on, Little Red Riding Hood was careful and never spoke to strangers again!",0.5,0.5
